Rk,Player,Tm,FGP,Opp,W-or-L,MP,FG,FGA,FG_PERCENT,threeP,3PA,THREE_PERCENT,FT,FTA,FT_PERCENT,AST,TOV,PF,PTS,Usage,GmSc,FPM
1,Giannis Antetokounmpo,MIL,,DEN,W,30:24,14,19,.737,0,0,,8,14,.571,5,2,2,36,+18,38.0,antetgi01
2,Victor Wembanyama,SAS,@,TOR,W,28:59,10,14,.714,2,4,.500,5,6,.833,5,7,2,27,+20,30.5,wembavi01
3,Donovan Mitchell,CLE,,PHI,L,37:22,9,20,.450,4,9,.444,14,17,.824,6,3,2,36,+10,29.4,mitchdo01
4,Luka Dončić,DAL,,WAS,W,37:17,8,16,.500,2,7,.286,8,11,.727,15,5,3,26,+19,27.2,doncilu01
5,Stephen Curry,GSW,@,UTA,W,32:05,9,19,.474,7,16,.438,0,0,,10,1,1,25,+30,26.4,curryst01
6,Ayo Dosunmu,CHI,@,ATL,W,38:32,12,18,.667,5,7,.714,0,1,.000,7,2,2,29,+13,25.2,dosunay01
7,Bogdan Bogdanović,ATL,,CHI,L,26:53,11,16,.688,6,10,.600,0,0,,4,1,1,28,-2,24.6,bogdabo01
8,Devin Vassell,SAS,@,TOR,W,27:23,9,15,.600,5,7,.714,2,2,1.000,6,0,1,25,+17,24.2,vassede01
9,DeMar DeRozan,CHI,@,ATL,W,38:25,10,17,.588,0,2,.000,9,11,.818,5,1,1,29,+13,23.3,derozde01
10,Daniel Gafford,DAL,,WAS,W,24:07,7,13,.538,0,0,,2,3,.667,2,2,0,16,-6,22.1,gaffoda01
11,Kelly Oubre,PHI,@,CLE,W,41:02,10,14,.714,2,3,.667,2,2,1.000,1,0,2,24,+7,22.1,oubreke01
12,Buddy Hield,PHI,@,CLE,W,35:33,9,13,.692,5,8,.625,1,1,1.000,8,3,6,24,-2,20.9,hieldbu01
13,Nikola Jokić,DEN,@,MIL,L,31:31,13,25,.520,2,5,.400,1,3,.333,8,5,1,29,-16,20.9,jokicni01
14,Darius Garland,CLE,,PHI,L,30:39,9,16,.563,3,8,.375,0,0,,9,0,0,21,-8,20.7,garlada01
15,Miles Bridges,CHO,,IND,W,38:37,9,17,.529,1,6,.167,1,1,1.000,7,2,0,20,+1,20.6,bridgmi02
16,Anthony Edwards,MIN,@,LAC,W,32:24,8,18,.444,1,11,.091,6,6,1.000,8,1,2,23,+18,20.5,edwaran01
17,Nikola Vučević,CHI,@,ATL,W,34:06,8,16,.500,1,2,.500,7,9,.778,2,0,3,24,+3,20.5,vucevni01
18,Myles Turner,IND,@,CHO,L,31:26,8,13,.615,1,5,.200,5,5,1.000,1,1,1,22,+6,20.3,turnemy01
19,Karl-Anthony Towns,MIN,@,LAC,W,27:02,8,12,.667,1,5,.200,7,8,.875,3,1,3,24,+17,20.2,townska01
20,Klay Thompson,GSW,@,UTA,W,29:55,11,19,.579,3,7,.429,1,1,1.000,2,1,0,26,+1,19.7,thompkl01
21,Kyrie Irving,DAL,,WAS,W,42:54,10,19,.526,2,7,.286,4,6,.667,4,2,3,26,+3,19.4,irvinky01
22,Tyus Jones,WAS,@,DAL,L,33:01,6,13,.462,0,1,.000,2,2,1.000,16,2,1,14,-14,19.0,jonesty01
23,Jarrett Allen,CLE,,PHI,L,37:00,9,13,.692,0,0,,3,4,.750,3,3,2,21,+10,18.7,allenja01
24,Josh Hart,NYK,@,HOU,L,42:12,7,11,.636,3,5,.600,0,0,,5,2,3,17,+2,18.5,hartjo01
25,Pascal Siakam,IND,@,CHO,L,34:45,8,12,.667,1,3,.333,1,2,.500,4,0,1,18,-5,18.3,siakapa01
26,Trae Young,ATL,,CHI,L,35:42,3,14,.214,2,10,.200,11,12,.917,14,2,1,19,-14,18.3,youngtr01
27,Herbert Jones,NOP,@,MEM,W,35:10,5,9,.556,3,6,.500,4,4,1.000,1,3,3,17,+7,18.1,joneshe01
28,Collin Sexton,UTA,,GSW,L,26:03,9,15,.600,2,3,.667,2,4,.500,5,2,1,22,-20,18.0,sextoco01
29,Draymond Green,GSW,@,UTA,W,23:29,5,7,.714,2,4,.500,0,0,,8,1,4,12,+11,17.6,greendr01
30,Evan Mobley,CLE,,PHI,L,27:53,6,11,.545,1,2,.500,1,2,.500,3,1,2,14,-11,17.2,mobleev01
31,De'Andre Hunter,ATL,,CHI,L,28:13,6,14,.429,4,7,.571,7,7,1.000,0,2,4,23,+3,17.0,huntede01
32,Coby White,CHI,@,ATL,W,32:45,8,17,.471,1,5,.200,3,4,.750,7,1,1,20,+6,17.0,whiteco01
33,Rudy Gobert,MIN,@,LAC,W,33:21,6,10,.600,0,0,,5,5,1.000,0,2,4,17,+9,16.6,goberru01
34,Alperen Şengün,HOU,,NYK,W,35:36,6,10,.600,0,0,,6,8,.750,6,3,3,18,-6,16.6,sengual01
35,Keldon Johnson,SAS,@,TOR,W,28:07,4,8,.500,0,2,.000,4,5,.800,6,0,1,12,+27,16.3,johnske04
36,Amen Thompson,HOU,,NYK,W,38:17,4,5,.800,0,0,,0,2,.000,5,3,2,8,-5,16.3,thompam01
37,Seth Curry,CHO,,IND,W,18:54,7,11,.636,2,5,.400,2,2,1.000,2,0,0,18,+15,16.1,curryse01
38,Kelly Olynyk,TOR,,SAS,L,21:02,6,10,.600,1,4,.250,4,4,1.000,2,1,3,17,-20,16.1,olynyke01
39,James Harden,LAC,,MIN,L,32:09,5,13,.385,3,8,.375,4,5,.800,6,0,0,17,-9,16.0,hardeja01
40,Paul Reed,PHI,@,CLE,W,28:40,6,10,.600,0,1,.000,1,1,1.000,1,0,1,13,-6,15.7,reedpa01
41,Jabari Smith,HOU,,NYK,W,37:52,6,13,.462,2,6,.333,6,8,.750,2,1,1,20,-2,15.4,smithja05
42,Grant Williams,CHO,,IND,W,31:10,6,12,.500,2,6,.333,7,8,.875,3,2,3,21,+14,15.4,willigr01
43,Dillon Brooks,HOU,,NYK,W,36:48,8,15,.533,6,7,.857,1,2,.500,1,2,3,23,-11,15.1,brookdi01
44,Deni Avdija,WAS,@,DAL,L,33:56,11,17,.647,1,3,.333,2,6,.333,3,5,3,25,+1,15.0,avdijde01
45,Donte DiVincenzo,NYK,@,HOU,L,40:57,9,21,.429,5,14,.357,0,0,,4,3,3,23,+2,14.8,divindo01
46,Andrew Nembhard,IND,@,CHO,L,33:11,5,7,.714,0,1,.000,0,0,,7,0,2,10,+8,14.8,nembhan01
47,Nickeil Alexander-Walker,MIN,@,LAC,W,23:48,6,9,.667,3,3,1.000,0,0,,5,2,2,15,0,14.4,alexani01
48,Marvin Bagley,WAS,@,DAL,L,28:04,6,10,.600,0,0,,0,0,,2,1,3,12,-3,14.2,baglema01
49,Jordan Clarkson,UTA,,GSW,L,32:38,7,17,.412,4,7,.571,4,4,1.000,1,1,3,22,-8,14.1,clarkjo01
50,Walker Kessler,UTA,,GSW,L,25:48,5,7,.714,0,0,,1,1,1.000,1,2,2,11,0,13.9,kesslwa01
51,Gradey Dick,TOR,,SAS,L,21:45,7,10,.700,4,5,.800,0,0,,0,1,1,18,-12,13.4,dickgr01
52,Aaron Gordon,DEN,@,MIL,L,28:27,6,11,.545,2,4,.500,0,0,,2,1,2,14,+1,13.2,gordoaa01
53,Josh Green,DAL,,WAS,W,29:04,5,8,.625,1,3,.333,2,3,.667,2,0,4,13,+3,13.1,greenjo02
54,Aaron Holiday,HOU,,NYK,W,26:05,7,14,.500,2,6,.333,2,4,.500,4,0,3,18,+8,13.1,holidaa01
55,Paul George,LAC,,MIN,L,29:47,5,16,.313,2,8,.250,6,6,1.000,3,0,2,18,-13,12.9,georgpa01
56,Trayce Jackson-Davis,GSW,@,UTA,W,9:13,4,4,1.000,0,0,,3,5,.600,1,0,0,11,+14,12.8,jackstr02
57,Onyeka Okongwu,ATL,,CHI,L,32:31,5,8,.625,0,1,.000,1,2,.500,1,0,3,11,-6,12.8,okongon01
58,Bruce Brown,TOR,,SAS,L,31:02,5,8,.625,1,2,.500,1,1,1.000,4,1,1,12,-14,12.7,brownbr01
59,Tre Jones,SAS,@,TOR,W,28:05,3,6,.500,1,2,.500,0,0,,10,1,1,7,+22,12.7,jonestr01
60,Cameron Payne,PHI,@,CLE,W,24:19,4,10,.400,1,3,.333,6,6,1.000,4,0,1,15,-1,12.6,payneca01
61,Nick Richards,CHO,,IND,W,26:13,6,6,1.000,0,0,,1,3,.333,1,2,3,13,+3,12.5,richani01
62,Aaron Nesmith,IND,@,CHO,L,33:21,8,13,.615,1,4,.250,4,7,.571,1,2,3,21,-2,12.3,nesmiaa01
63,Andrew Wiggins,GSW,@,UTA,W,28:08,6,10,.600,3,3,1.000,2,3,.667,0,1,1,17,+31,12.2,wiggian01
64,John Collins,UTA,,GSW,L,28:21,3,6,.500,0,1,.000,5,5,1.000,5,3,0,11,-27,12.1,collijo01
65,Jalen Green,HOU,,NYK,W,29:48,4,15,.267,0,6,.000,8,9,.889,4,1,0,16,-6,12.0,greenja05
66,Talen Horton-Tucker,UTA,,GSW,L,16:08,5,9,.556,1,3,.333,2,2,1.000,4,2,2,13,+6,12.0,hortota01
67,Tyrese Maxey,PHI,@,CLE,W,41:49,9,21,.429,2,5,.400,2,4,.500,9,4,5,22,-2,12.0,maxeyty01
68,Jalen Brunson,NYK,@,HOU,L,38:48,10,25,.400,2,6,.333,5,8,.625,7,5,4,27,-1,11.8,brunsja01
69,Jeremy Sochan,SAS,@,TOR,W,30:03,7,12,.583,0,2,.000,2,2,1.000,0,2,2,16,+13,11.8,sochaje01
70,Tyrese Haliburton,IND,@,CHO,L,34:10,5,15,.333,3,8,.375,0,0,,12,3,1,13,+10,11.7,halibty01
71,Jaren Jackson,MEM,,NOP,L,35:48,8,19,.421,2,8,.250,4,5,.800,3,4,2,22,-20,11.6,jacksja02
72,Damian Lillard,MIL,,DEN,W,22:42,6,15,.400,2,5,.400,4,4,1.000,5,2,3,18,+12,11.5,lillada01
73,Lauri Markkanen,UTA,,GSW,L,33:53,8,17,.471,3,7,.429,0,0,,0,1,1,19,-26,11.4,markkla01
74,Vince Williams,MEM,,NOP,L,37:02,4,8,.500,1,5,.200,3,3,1.000,9,4,2,12,-4,11.4,willivi01
75,Jalen Johnson,ATL,,CHI,L,34:56,5,9,.556,0,2,.000,3,4,.750,2,0,3,13,-13,11.3,johnsja05
76,Pat Connaughton,MIL,,DEN,W,22:20,2,2,1.000,1,1,1.000,0,0,,5,0,0,5,+19,11.1,connapa01
77,Torrey Craig,CHI,@,ATL,W,27:29,3,5,.600,2,4,.500,1,2,.500,5,1,4,9,+4,11.1,craigto01
78,Gary Payton,GSW,@,UTA,W,15:21,4,4,1.000,1,1,1.000,2,2,1.000,2,1,1,11,+9,10.8,paytoga02
79,Kyle Kuzma,WAS,@,DAL,L,32:05,9,19,.474,1,7,.143,4,5,.800,0,4,4,23,-14,10.7,kuzmaky01
80,Larry Nance,NOP,@,MEM,W,30:16,3,4,.750,1,2,.500,1,2,.500,3,1,3,8,+28,10.4,nancela02
81,Dejounte Murray,ATL,,CHI,L,33:49,7,17,.412,2,8,.250,1,2,.500,9,6,4,17,-5,10.1,murrade01
82,Kawhi Leonard,LAC,,MIN,L,30:06,8,17,.471,1,3,.333,1,1,1.000,1,3,2,18,-15,10.0,leonaka01
83,Jakob Poeltl,TOR,,SAS,L,20:02,5,10,.500,0,0,,2,2,1.000,1,0,2,12,-5,9.9,poeltja01
84,Precious Achiuwa,NYK,@,HOU,L,38:40,4,8,.500,0,1,.000,0,1,.000,0,3,4,8,+3,9.8,achiupr01
85,Zion Williamson,NOP,@,MEM,W,34:43,4,13,.308,0,0,,6,7,.857,4,3,1,14,+8,9.5,willizi01
86,Mike Conley,MIN,@,LAC,W,24:09,2,5,.400,1,3,.333,0,0,,7,1,1,5,+10,9.4,conlemi01
87,Max Strus,CLE,,PHI,L,29:53,4,7,.571,2,5,.400,0,0,,4,1,3,10,+5,9.3,strusma01
88,KJ Martin,PHI,@,CLE,W,25:53,5,5,1.000,0,0,,0,0,,1,2,4,10,-2,9.2,martike04
89,Amir Coffey,LAC,,MIN,L,25:59,4,5,.800,1,1,1.000,1,1,1.000,2,0,2,10,-18,9.0,coffeam01
90,Trey Murphy,NOP,@,MEM,W,25:06,3,8,.375,1,5,.200,2,2,1.000,2,0,0,9,+5,9.0,murphtr02
91,Tre Mann,CHO,,IND,W,33:53,5,11,.455,1,3,.333,0,0,,7,4,1,11,+10,8.9,manntr01
92,Malik Beasley,MIL,,DEN,W,30:23,3,6,.500,3,6,.500,0,0,,1,0,0,9,+16,8.6,beaslma01
93,Saddiq Bey,ATL,,CHI,L,32:17,5,11,.455,0,5,.000,1,2,.500,3,0,1,11,-7,8.5,beysa01
94,Michael Porter,DEN,@,MIL,L,30:48,3,11,.273,2,8,.250,3,3,1.000,4,2,2,11,-16,8.5,portemi01
95,Kyle Anderson,MIN,@,LAC,W,20:25,2,6,.333,1,1,1.000,0,0,,6,0,1,5,+9,8.4,anderky01
96,Bojan Bogdanović,NYK,@,HOU,L,23:01,7,13,.538,1,5,.200,0,1,.000,0,1,2,15,-13,8.4,bogdabo02
97,Brook Lopez,MIL,,DEN,W,29:05,3,9,.333,3,7,.429,0,0,,3,1,2,9,+12,8.2,lopezbr01
98,Cody Martin,CHO,,IND,W,29:47,5,8,.625,1,2,.500,0,0,,2,3,2,11,-4,8.2,martico01
99,Isaac Okoro,CLE,,PHI,L,23:09,2,6,.333,2,4,.500,2,2,1.000,1,0,2,8,0,7.9,okorois01
100,Jevon Carter,CHI,@,ATL,W,25:14,4,8,.500,3,6,.500,0,0,,2,1,3,11,+9,7.8,carteje01
101,Dalen Terry,CHI,@,ATL,W,20:43,3,3,1.000,1,1,1.000,0,0,,1,0,3,7,-3,7.8,terryda01
102,Richaun Holmes,WAS,@,DAL,L,12:33,5,7,.714,0,0,,0,0,,0,0,3,10,+2,7.6,holmeri01
103,RJ Barrett,TOR,,SAS,L,24:05,6,10,.600,0,2,.000,1,2,.500,2,4,3,13,-30,7.5,barrerj01
104,Brandon Ingram,NOP,@,MEM,W,36:11,7,14,.500,2,6,.333,0,1,.000,6,6,4,16,+5,7.5,ingrabr01
105,Caris LeVert,CLE,,PHI,L,26:40,5,14,.357,1,6,.167,0,0,,6,1,4,11,-5,7.5,leverca01
